Date Cts +- State
55349.5 1.8326 0.0429 1
55350.5 1.5537 0.0402 1
55351.5 1.3089 0.0366 1
55352.5 1.5398 0.0503 1
55353.5 1.3047 0.0468 1
55354.5 1.3594 0.0335 1
55355.5 1.3301 0.0335 1
55356.5 1.2123 0.0371 1
55357.5 1.1601 0.0330 1
55358.5 1.0184 0.0245 1
55359.5 1.0712 0.0230 1
55360.5 1.0968 0.0235 1
55361.5 1.1985 0.0218 1
55362.5 1.2021 0.0197 1
55363.5 1.2275 0.0198 1
55364.5 1.0216 0.0190 1
55365.5 1.0735 0.0177 1
55366.5 1.0951 0.0173 1
55367.5 1.0024 0.0161 1
55368.5 1.2510 0.0183 1
55369.5 1.3167 0.0181 1
55370.5 1.3588 0.0183 1
55371.5 1.4153 0.0194 1
55372.5 1.7805 0.0208 1
55373.5 1.6070 0.0220 1
55374.5 1.9310 0.0262 1
55375.5 1.3380 0.0212 1
55376.5 1.5124 0.0236 1
55377.5 2.4043 0.0292 1
55378.5 4.0176 0.0400 0
55379.5 3.1200 0.0343 0
55380.5 2.8162 0.0608 0
55381.5 2.6848 0.0357 0
55382.5 2.5534 0.0350 0
55383.5 3.6688 0.0638 0
55384.5 2.7762 0.0551 0
55385.5 2.9628 0.0596 0
55386.5 2.3734 0.0512 0
55387.5 3.1742 0.0598 0
55388.5 2.5307 0.0542 0
55389.5 3.1490 0.0633 0
55390.5 2.2288 0.2056 0
55416.5 2.5752 0.1093 0
55417.5 2.6983 0.0574 0
55418.5 2.2297 0.0491 0
55419.5 2.6921 0.0543 0
55420.5 2.1664 0.0473 0
55421.5 2.9394 0.0549 0
55422.5 3.1357 0.0556 0
55423.5 4.0572 0.0613 0
55424.5 2.9511 0.0483 0
55425.5 3.2237 0.0496 0
55426.5 3.2466 0.0573 0
55427.5 2.5273 0.0758 0
55428.5 2.7909 0.0400 0
55429.5 2.4539 0.0332 0
55430.5 1.9713 0.0342 0
55431.5 2.6151 0.0384 0
55432.5 2.3050 0.0291 0
55433.5 2.3378 0.0257 0
55434.5 1.9739 0.0246 0
55435.5 2.3198 0.0255 0
55436.5 2.7286 0.0262 0
55437.5 2.9029 0.0260 0
55438.5 2.1118 0.0234 0
55439.5 2.1284 0.0228 0
55440.5 1.7593 0.0208 0
55441.5 2.5147 0.0254 0
55442.5 2.1447 0.0229 0
55443.5 2.1220 0.0237 0
55444.5 2.3730 0.0260 0
55445.5 2.9041 0.0308 0
55446.5 2.4928 0.0291 0
55447.5 2.4543 0.0295 0
55448.5 2.5256 0.0321 0
55449.5 2.3266 0.0306 0
55450.5 2.9085 0.0391 0
55451.5 2.9218 0.0567 0
55452.5 2.4377 0.0346 0
55453.5 2.8015 0.0524 0
55454.5 2.2550 0.0520 0
55455.5 2.1526 0.0513 0
55456.5 2.1540 0.0504 0
55457.5 2.3989 0.0523 0
55458.5 2.2537 0.0528 0
55459.5 2.2918 0.0538 0
55460.5 2.2684 0.0871 0
55478.5 2.1333 0.1173 0
55479.5 2.0599 0.1563 0
55482.5 1.8459 0.0465 0
55487.5 2.1129 0.0559 0
55488.5 1.9133 0.0467 0
55489.5 2.3338 0.0513 0
55490.5 1.9615 0.0455 0
55491.5 2.1145 0.0488 0
55492.5 2.4384 0.0490 0
55493.5 2.0549 0.0440 0
55494.5 2.1818 0.0401 0
55495.5 1.9867 0.0391 0
55496.5 1.4668 0.0421 0
55497.5 2.0269 0.0390 0
55498.5 2.2055 0.0479 0
55499.5 1.8130 0.0303 0
55500.5 2.6373 0.0372 0
55501.5 2.5421 0.0344 0
55502.5 2.9292 0.0338 0
55503.5 2.4793 0.0279 0
55504.5 2.4071 0.0270 0
55505.5 2.9301 0.0281 0
55506.5 2.6612 0.0259 0
55507.5 2.0230 0.0231 0
55508.5 2.6959 0.0252 0
55509.5 2.2281 0.0231 0
55510.5 2.2459 0.0233 0
55511.5 2.1891 0.0238 0
55512.5 2.3743 0.0239 0
55513.5 2.5521 0.0281 0
55514.5 1.5484 0.0255 0
55515.5 1.5796 0.0279 0
55516.5 1.5965 0.0290 0
55517.5 1.7077 0.0333 0
55518.5 1.4835 0.0302 0
55519.5 2.4251 0.0330 0
55520.5 1.9099 0.0325 0
55521.5 2.0718 0.0452 0
55522.5 1.9098 0.0348 0
55523.5 2.4064 0.0446 0
55524.5 2.6280 0.0526 0
55525.5 2.3942 0.0558 0
55526.5 2.2980 0.0520 0
55527.5 1.8726 0.0449 0
55528.5 2.0622 0.0465 0
55529.5 2.8496 0.0580 0
55530.5 3.5036 0.0675 0
55547.5 1.7570 0.0722 0
55562.5 1.7440 0.0545 0
55563.5 2.7772 0.0498 0
55564.5 3.1222 0.0537 0
55565.5 1.9568 0.0395 0
55566.5 2.2753 0.0502 0
55567.5 2.5646 0.0498 0
55568.5 2.2949 0.0592 0
55569.5 2.7757 0.0465 0
55570.5 2.8022 0.0389 0
55571.5 1.7826 0.0327 0
55572.5 1.8538 0.0347 0
55573.5 2.4225 0.0349 0
55574.5 3.2500 0.0362 0
55575.5 1.9263 0.0251 0
55576.5 2.2880 0.0254 0
55577.5 2.4324 0.0251 0
55578.5 3.0125 0.0350 0
55579.5 2.4690 0.0348 0
55580.5 2.7912 0.0288 0
55581.5 3.0266 0.0268 0
55582.5 2.0152 0.0225 0
55583.5 2.6891 0.0265 0
55584.5 2.2598 0.0245 0
55585.5 2.1369 0.0258 0
55586.5 2.0830 0.0260 0
55587.5 2.1487 0.0280 0
55588.5 2.0482 0.0288 0
55589.5 2.4056 0.0293 0
55590.5 2.6351 0.0410 0
55591.5 2.7741 0.0532 0
55592.5 2.5048 0.0437 0
55593.5 3.2184 0.0542 0
55594.5 2.7732 0.0555 0
55595.5 2.0473 0.0472 0
55596.5 2.1030 0.0475 0
55597.5 2.7159 0.0565 0
55598.5 2.2331 0.0504 0
55599.5 2.3199 0.0511 0
55600.5 2.1884 0.0518 0
55601.5 2.9791 0.1636 0
55622.5 2.5844 0.0870 0
55623.5 2.4082 0.0552 0
55624.5 2.2877 0.0394 0
55625.5 2.6635 0.0428 0
55626.5 2.7252 0.0411 0
55627.5 2.6341 0.0490 0
55628.5 2.2047 0.0540 0
55629.5 1.9180 0.1081 0
55632.5 2.0369 0.1063 0
55633.5 1.8059 0.0436 0
55634.5 2.1901 0.0467 0
55635.5 2.0842 0.0445 0
55636.5 1.5190 0.0414 0
55637.5 1.8109 0.0395 0
55638.5 1.6800 0.0491 0
55639.5 2.0080 0.0379 0
55640.5 2.0186 0.0348 0
55641.5 1.6266 0.0309 0
55642.5 1.4045 0.0289 0
55643.5 1.7469 0.0292 0
55644.5 1.5224 0.0257 0
55645.5 1.5943 0.0250 0
55646.5 1.8895 0.0267 0
55647.5 2.3506 0.0282 0
55648.5 2.1974 0.0273 0
55649.5 2.0112 0.0254 0
55650.5 1.7369 0.0238 0
55651.5 2.3160 0.0280 0
55652.5 3.0247 0.0308 0
55653.5 2.3599 0.0277 0
55654.5 1.7500 0.0212 0
55655.5 2.2870 0.0256 0
55656.5 2.1037 0.0248 0
55657.5 2.1355 0.0281 0
55658.5 2.4292 0.0294 0
55659.5 2.2173 0.0290 0
55660.5 1.9180 0.0279 0
55661.5 1.4195 0.0277 0
55662.5 2.3433 0.0540 0
55663.5 2.2164 0.0344 0
55664.5 2.9464 0.0569 0
55665.5 2.5672 0.0563 0
55666.5 2.4916 0.0519 0
55667.5 2.2823 0.0505 0
55669.5 2.8025 0.1548 0
55670.5 2.7536 0.2170 0
55671.5 2.2215 0.0766 0
55673.5 1.9999 0.0874 0
55680.5 1.7146 0.1049 0
55697.5 1.4958 0.0865 0
55698.5 1.5519 0.0435 1
55699.5 1.4820 0.0319 1
55700.5 1.2181 0.0239 1
55701.5 1.3399 0.0249 1
55702.5 1.3311 0.0250 1
55703.5 1.7146 0.0291 1
55704.5 1.7221 0.0328 1
55705.5 1.3909 0.0297 1
55706.5 1.5936 0.0290 1
55707.5 1.8561 0.0333 1
55708.5 1.2537 0.0281 1
55709.5 1.1878 0.0581 1
55710.5 1.2276 0.0450 1
55711.5 1.2182 0.0288 1
55712.5 1.1728 0.0209 1
55713.5 1.2702 0.0218 1
55714.5 1.1659 0.0195 1
55715.5 0.9720 0.0172 1
55716.5 0.8858 0.0171 1
55717.5 0.7964 0.0157 1
55718.5 0.9294 0.0160 1
55719.5 0.8670 0.0152 1
55720.5 1.0170 0.0168 1
55721.5 1.3781 0.0195 1
55722.5 1.2435 0.0183 1
55723.5 1.0810 0.0174 1
55724.5 1.1040 0.0182 1
55725.5 1.3343 0.0198 1
55726.5 0.9496 0.0188 1
55727.5 1.1367 0.0213 1
55728.5 0.9373 0.0203 1
55729.5 0.9567 0.0208 1
55730.5 1.1266 0.0254 1
55731.5 1.1192 0.0231 1
55732.5 1.1309 0.0321 1
55733.5 0.9334 0.0245 1
55734.5 1.1356 0.0329 1
55735.5 0.9056 0.0323 1
55736.5 1.0247 0.0358 1
55737.5 0.9533 0.0373 1
55738.5 0.8552 0.0344 1
55739.5 1.1135 0.0389 1
55740.5 1.2729 0.0435 1
55741.5 1.0933 0.0526 1
55769.5 1.8675 0.0701 1
55770.5 1.7324 0.0435 1
55771.5 1.8720 0.0451 0
55772.5 1.1588 0.0388 1
55773.5 2.7453 0.0509 1
55774.5 2.5579 0.0522 1
55775.5 1.7416 0.0406 1
55776.5 1.8182 0.0404 1
55777.5 0.9414 0.0283 1
55778.5 1.3521 0.0394 1
55779.5 2.0106 0.0748 1
55780.5 3.1345 0.0482 0
55781.5 3.4078 0.0396 0
55782.5 2.3764 0.0344 0
55783.5 2.3292 0.0388 1
55784.5 1.6510 0.0253 1
55785.5 1.6432 0.0245 1
55786.5 1.6206 0.0221 1
55787.5 1.6609 0.0218 1
55788.5 1.9864 0.0238 1
55789.5 2.0332 0.0225 0
55790.5 2.4789 0.0253 0
55791.5 2.3967 0.0241 0
55792.5 3.0540 0.0268 0
55793.5 2.2912 0.0245 0
55794.5 2.9551 0.0265 0
55795.5 3.3491 0.0296 0
55796.5 3.1629 0.0294 0
55797.5 2.7128 0.0286 0
55798.5 2.3610 0.0290 0
55799.5 2.3308 0.0277 0
55800.5 2.3062 0.0305 0
55801.5 2.7942 0.0349 0
55802.5 2.4836 0.0328 0
55803.5 3.4407 0.0649 0
55804.5 2.2349 0.0346 0
55805.5 1.9506 0.0346 0
55806.5 2.7567 0.0557 0
55807.5 2.4510 0.0533 0
55808.5 3.0974 0.0591 0
55809.5 2.6814 0.0557 0
55810.5 2.9261 0.0575 0
55811.5 2.9020 0.0586 0
55812.5 2.7524 0.0594 0
55813.5 2.2562 0.1252 0
55820.5 1.2199 0.1458 0
55840.5 2.6746 0.0637 0
55841.5 3.0400 0.0565 0
55842.5 3.0195 0.0564 0
55843.5 3.6860 0.0582 0
55844.5 2.3733 0.0482 0
55845.5 2.4773 0.0501 0
55846.5 2.7580 0.0530 0
55847.5 2.7466 0.0489 0
55848.5 3.3174 0.0511 0
55849.5 3.0570 0.0573 0
55850.5 3.5234 0.0521 0
55851.5 2.5800 0.0622 0
55852.5 2.0865 0.0325 0
55853.5 1.5552 0.0289 0
55854.5 1.8833 0.0326 0
55855.5 2.5651 0.0372 0
55856.5 2.0404 0.0354 0
55857.5 2.0053 0.0307 0
55858.5 1.3235 0.0245 0
55859.5 1.7712 0.0254 0
55860.5 1.7170 0.0249 0
55861.5 2.2236 0.0279 0
55862.5 2.5000 0.0282 0
55863.5 2.7235 0.0311 0
55864.5 2.3527 0.0277 0
55865.5 2.3116 0.0276 0
55866.5 2.1982 0.0280 0
55867.5 2.4024 0.0284 0
55868.5 2.9457 0.0337 0
55869.5 2.7765 0.0332 0
55870.5 2.3993 0.0321 0
55871.5 2.9978 0.0389 0
55872.5 2.2446 0.0356 0
55873.5 1.8166 0.0349 0
55874.5 2.3482 0.0500 0
55875.5 3.0863 0.0573 0
55876.5 2.9482 0.0431 0
55877.5 3.1604 0.0472 0
55878.5 2.7307 0.0541 0
55879.5 2.1738 0.0511 0
55880.5 1.7825 0.0498 0
55881.5 3.4874 0.0583 0
55882.5 3.4931 0.0624 0
55883.5 3.2328 0.0623 0
55884.5 3.0473 0.0676 0
55886.5 3.1299 0.1771 0
55911.5 1.6060 0.1730 1
55912.5 1.6516 0.0434 1
55913.5 1.4586 0.0527 1
55915.5 1.9430 0.0489 1
55916.5 2.2259 0.0489 1
55917.5 1.7068 0.0418 1
55918.5 1.6952 0.0406 1
55919.5 1.5351 0.0367 1
55920.5 1.5316 0.0381 1
55921.5 1.5415 0.0429 1
55922.5 1.4610 0.0340 1
55923.5 1.2487 0.0364 1
55924.5 1.3429 0.0317 1
55925.5 1.3537 0.0277 1
55926.5 1.2239 0.0286 1
55927.5 1.2116 0.0277 1
55928.5 1.1551 0.0266 1
55929.5 1.4123 0.0248 1
55930.5 1.1155 0.0218 1
55931.5 1.3106 0.0231 1
55932.5 1.3129 0.0222 1
55933.5 1.4020 0.0228 1
55934.5 1.3942 0.0219 1
55935.5 1.5015 0.0280 1
55936.5 1.6737 0.0423 1
55937.5 2.2385 0.0344 1
55938.5 1.6831 0.0250 1
55939.5 1.5833 0.0246 1
55940.5 1.4649 0.0261 1
55941.5 2.1569 0.0298 1
55942.5 2.3342 0.0328 0
55943.5 2.9010 0.0399 0
55944.5 3.1922 0.0425 0
55945.5 2.4397 0.0483 0
55946.5 2.5446 0.0519 0
55947.5 1.9748 0.0438 0
